TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
comp5111.assignment.cut.Subject,BRANCH,0.88107202680067,597,525
comp5111.assignment.cut.Subject,BRANCH,0.8994974874371859,597,537
