[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
| return null                                                                                         |   N   |
| l8 = $stack16[l7]                                                                                   |   Y   |
| return $stack4                                                                                      |   Y   |
| $stack1 = 0                                                                                         |   Y   |
| l6 = l2 - l4                                                                                        |   N   |
| stack115)...                                                                                        |   N   |
| ])>(l1)...                                                                                          |   Y   |
| if $stack144 != 45 goto $stack145 = 0                                                               |   Y   |
| $stack15 = staticinvoke <java.lang.Character: boolean isWhitespace(char)>($stack14)                 |   N   |
| l4 = $stack13                                                                                       |   Y   |
| if l0 != null goto $stack6 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()               |   Y   |
| return $stack124                                                                                    |   N   |
| specialinvoke $stack25.<java.lang.String: void <init>(char[],int,int)>(l2, l4, $stack26)            |   Y   |
| $stack29 = virtualinvoke l12#81.<java.lang.Float: boolean isInfinite()>()                           |   N   |
| _ARRAY>...                                                                                          |   N   |
| $stack14 = virtualinvoke l0.<java.lang.String: char charAt(int)>($stack13)                          |   N   |
| stack106)...                                                                                        |   N   |
| l1 = 0                                                                                              |   Y   |
| $stack17 = virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.String toString()>()          |   N   |
| return $stack2                                                                                      |   Y   |
| if l4 <= 0 goto $stack19 = l2 - 1                                                                   |   Y   |
| $stack10 = staticinvoke <java.lang.Character: boolean isUpperCase(char)>($stack9)                   |   Y   |
| if $stack10 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()              |   Y   |
| $stack22 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>($stack20)                  |   N   |
| l4 = 99                                                                                             |   Y   |
| $stack33 = $stack32 cmpl 0.0                                                                        |   N   |
| $stack10 = staticinvoke <co...                                                                      |   Y   |
| if $stack15 == 0 goto $stack16 = newarray (java.lang.String)[3]                                     |   Y   |
| $stack83 = $stack82 cmpl 0.0F                                                                       |   N   |
| $stack1 = 0                                                                                         |   N   |
| $stack65 = virtualinvoke l12.<java.lang.String: boolean isEmpty()>()                                |   N   |
| if $stack6 == 0 goto $stack7 = 28                                                                   |   Y   |
| return l0#4                                                                                         |   Y   |
| $stack22 = (java.lang.String[]) $stack21                                                            |   Y   |
| $stack11 = l1#2 - 1                                                                                 |   N   |
| l6 = 0                                                                                              |   Y   |
| $stack1 = staticinvoke <jav...                                                                      |   Y   |
| $stack2 = staticinvoke <com...                                                                      |   Y   |
| goto [?= (branch)]                                                                                  |   Y   |
| l1#2 = $stack5 - 1                                                                                  |   Y   |
| l2 = $stack14 - 1                                                                                   |   Y   |
| if l7 >= l6 goto $stack13 = virtualinvoke $stack12.<java.lang.StringBuilder: int length()>()        |   N   |
| if l10 >= $stack55 goto l8 = null                                                                   |   N   |
| if l7 != l5 goto (branch)                                                                           |   Y   |
| $stack119 = 1                                                                                       |   Y   |
| if l2 == 45 goto $stack7 = 1                                                                        |   Y   |
| $stack1 = 1                                                                                         |   Y   |
| return 1                                                                                            |   Y   |
| virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>($stack17)               |   N   |
| return $stack123                                                                                    |   N   |
| if l1 != 12 goto (branch)                                                                           |   Y   |
| l13#63 = staticinvoke <comp...                                                                      |   N   |
| return 1                                                                                            |   Y   |
| goto [?= return $stack15]                                                                           |   Y   |
| $stack10 = virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.String toString()>()           |   Y   |
| l6 = l2[l5]                                                                                         |   Y   |
| return 0                                                                                            |   Y   |
| if l4 != 0 goto l3 = l3 + 1                                                                         |   Y   |
| if l6 != 8 goto $stack124 =...                                                                      |   N   |
| $stack7 = l0 & 3                                                                                    |   N   |
| $stack4 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l2)                         |   Y   |
| l2 = l2 + -1                                                                                        |   N   |
| throw $stack114                                                                                     |   N   |
| stack0...                                                                                           |   Y   |
| if l1 == 13 goto return ""                                                                          |   Y   |
| if $stack12 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()              |   Y   |
| if $stack38 == 0 goto (branch)                                                                      |   N   |
| throw $stack8                                                                                       |   Y   |
| virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(45)           |   Y   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| if $stack4 != 46 goto $stack5 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)            |   Y   |
| if $stack14 == 0 goto $stack9 = new java.math.BigInteger                                            |   Y   |
| return 0                                                                                            |   Y   |
| if $stack36 != 0 goto $stac...                                                                      |   N   |
| $stack2 = virtualinvoke l0.<java.lang.Character: char charValue()>()                                |   Y   |
| if $stack19 != $stack20 goto l8 = l8 + 1                                                            |   N   |
| $stack3 = 1                                                                                         |   Y   |
| if l2 < 1 goto $stack8 = new java.lang.IllegalArgumentException                                     |   Y   |
| if l2 == 0 goto $stack9 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l4)         |   N   |
| l7 = 0                                                                                              |   Y   |
| l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(java.lang.String)>(":")           |   Y   |
| if $stack9 == 0 goto l2 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()               |   Y   |
| if l8 == 63 goto $stack20 = virtualinvoke $stack12.<java.lang.StringBuilder: int length()>()        |   N   |
| $stack68 = virtualinvoke l12.<java.lang.String: char charAt(int)>(0)                                |   N   |
| if $stack5 != 0 goto return 0                                                                       |   Y   |
| \\.", -1)...                                                                                        |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| return ""                                                                                           |   Y   |
| virtualinvoke $stack12.<java.lang.StringBuilder: void setLength(int)>(0)                            |   N   |
| virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(l8)          |   N   |
| throw $stack151                                                                                     |   Y   |
| return 15                                                                                           |   Y   |
| $stack14 = staticinvoke <co...                                                                      |   Y   |
| ($stack12)...                                                                                       |   Y   |
| l2 = l1 - 1                                                                                         |   Y   |
| l6 = l6 + 1                                                                                         |   Y   |
| return $stack8                                                                                      |   N   |
| l14 = staticinvoke <comp511...                                                                      |   N   |
| $stack11 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>(":")             |   Y   |
| $stack32 = virtualinvoke l0.<java.lang.String: int indexOf(int)>(42)                                |   Y   |
| return ""                                                                                           |   N   |
| if $stack6 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()               |   Y   |
| $stack2 = 0                                                                                         |   Y   |
| if l2 == 13 goto $stack7 = ...                                                                      |   Y   |
| if l6 != l4 goto $stack12 =...                                                                      |   Y   |
| $stack17 = $stack16 + $stack15                                                                      |   Y   |
| if l1 == null goto return l0                                                                        |   Y   |
| $stack7 = virtualinvoke l0.<java.lang.String: char charAt(int)>($stack6)                            |   Y   |
| $stack4 = lengthof l0                                                                               |   Y   |
| if l5#11 == 48 goto l4 = l4 + 1                                                                     |   N   |
| $stack38 = staticinvoke <co...                                                                      |   N   |
| l0#4 = l2                                                                                           |   Y   |
| if l6 >= l2 goto l6 = l2 - l4                                                                       |   N   |
| if l6 >= l2 goto return 0                                                                           |   Y   |
| l4 = l4 + 1                                                                                         |   Y   |
| return null                                                                                         |   N   |
| goto [?= (branch)]                                                                                  |   N   |
| if l1 != 0 goto l2 = 0                                                                              |   Y   |
| return 1                                                                                            |   Y   |
| if l2 < $stack4 goto (branch)                                                                       |   Y   |
| virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>($stack26)               |   N   |
| $stack16 = new java.lang.String                                                                     |   Y   |
| return l0                                                                                           |   Y   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| if l5#11 <= 55 goto (branch)                                                                        |   N   |
| if $stack2 == 0 goto $stack3 = 0                                                                    |   Y   |
| l6 = l6 + 1                                                                                         |   Y   |
| return 0                                                                                            |   Y   |
| $stack164 = staticinvoke <c...                                                                      |   N   |
| if l2 >= 0 goto $stack4 = lengthof l0                                                               |   Y   |
| if l0 != 4 goto (branch)                                                                            |   Y   |
| goto [?= (branch)]                                                                                  |   Y   |
| if $stack1 != 0 goto $stack2 = 0                                                                    |   Y   |
| l7 = staticinvoke <java.lang.Character: int getType(char)>($stack23)                                |   Y   |
| if $stack12 != 13 goto $sta...                                                                      |   N   |
| return 5                                                                                            |   N   |
| $stack6 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                               |   Y   |
| throw $stack62                                                                                      |   N   |
| return -1                                                                                           |   N   |
| return $stack4                                                                                      |   N   |
| $stack63 = dynamicinvoke "m...                                                                      |   N   |
| $stack1 = 0                                                                                         |   Y   |
| $stack123 = staticinvoke <c...                                                                      |   N   |
| return 1                                                                                            |   N   |
| if $stack8 == $stack9 goto l3 = l3 + 1                                                              |   N   |
| $stack8 = virtualinvoke l1.<java.lang.String: int indexOf(int)>($stack7)                            |   Y   |
| if l0 != 9 goto (branch)                                                                            |   Y   |
| throw $stack7                                                                                       |   Y   |
| goto [?= l5 = l7]                                                                                   |   N   |
| $stack54 = staticinvoke <co...                                                                      |   N   |
| $stack2 = staticinvoke <jav...                                                                      |   Y   |
| if $stack18 == 43 goto $stack145 = 1                                                                |   Y   |
| l6#28 = staticinvoke <comp5...                                                                      |   N   |
| l3 = l2                                                                                             |   Y   |
| if $stack33 != 0 goto l14 =...                                                                      |   N   |
| specialinvoke $stack11.<java.util.ArrayList: void <init>()>()                                       |   Y   |
| return $stack1                                                                                      |   Y   |
| $stack14 = $stack13 - 1                                                                             |   Y   |
| return 31                                                                                           |   Y   |
| $stack7 = 1                                                                                         |   N   |
| $stack11 = new java.util.ArrayList                                                                  |   N   |
| l3 = 1                                                                                              |   N   |
| if $stack16 == 0 goto l4 = 0                                                                        |   Y   |
| if l0 >= 127 goto $stack1 = 0                                                                       |   Y   |
| if l0 == null goto return -1                                                                        |   Y   |
| $stack2 = l1                                                                                        |   N   |
| if l4 == 42 goto l4 = l8                                                                            |   N   |
| $stack36 = staticinvoke <java.math.BigDecimal: java.math.BigDecimal valueOf(double)>($stack35)      |   N   |
| return $stack122                                                                                    |   N   |
| return $stack2                                                                                      |   Y   |
| if $stack11 <= 1 goto l2 = l2 + 1                                                                   |   N   |
| $stack151 = new java.lang.NumberFormatException                                                     |   Y   |
| l8 = null                                                                                           |   N   |
| specialinvoke $stack3.<java...                                                                      |   Y   |
| $stack16 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l3)          |   Y   |
| if l2 <= $stack10 goto l3 =...                                                                      |   Y   |
| $stack4 = 1                                                                                         |   N   |
| l4 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>(l3)                           |   N   |
| $stack8 = 1                                                                                         |   N   |
| $stack78 = virtualinvoke l13#69.<java.lang.Double: double doubleValue()>()                          |   N   |
| l4 = l2 - 1                                                                                         |   Y   |
| $stack25 = new java.lang.NumberFormatException                                                      |   Y   |
| if l0 != 11 goto (branch)                                                                           |   Y   |
| $stack19 = l2 - 1                                                                                   |   Y   |
| return l0                                                                                           |   Y   |
| l4 = virtualinvoke l0.<java.lang.String: int length()>()                                            |   Y   |
| $stack79 = $stack78 cmpl 0.0                                                                        |   N   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| l1 = virtualinvoke l0.<java.lang.String: int length()>()                                            |   Y   |
| $stack15 = 1                                                                                        |   N   |
| $stack9 = interfaceinvoke l1.<java.lang.CharSequence: char charAt(int)>(l3)                         |   N   |
| if l0 >= 128 goto $stack1 = 0                                                                       |   Y   |
| throw $stack37                                                                                      |   N   |
| return 0                                                                                            |   N   |
| if $stack3 == 48 goto l1 = l1 + -1                                                                  |   N   |
| $stack31 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String)>("::")          |   N   |
| if l8 >= l3 goto l6 = l6 + 1                                                                        |   Y   |
| $stack2 = 1                                                                                         |   Y   |
| $stack30 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>("::")            |   N   |
| if l1 <= 12 goto (branch)                                                                           |   Y   |
| $stack1 = staticinvoke <java.lang.Integer: java.lang.Integer decode(java.lang.String)>(l0)          |   Y   |
| $stack2 = staticinvoke <com...                                                                      |   N   |
| return null                                                                                         |   N   |
| return $stack2                                                                                      |   Y   |
| $stack119 = 0                                                                                       |   N   |
| if l3 < 0 goto return -1                                                                            |   Y   |
| l2 = 16                                                                                             |   N   |
| if $stack12 == 0 goto $stac...                                                                      |   Y   |
| $stack77 = staticinvoke <co...                                                                      |   N   |
| return $stack8                                                                                      |   N   |
| return                                                                                              |   Y   |
| $stack12 = dynamicinvoke "m...                                                                      |   Y   |
| if $stack30 == 0 goto $stac...                                                                      |   N   |
| $stack1 = 0                                                                                         |   Y   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| goto [?= (branch)]                                                                                  |   Y   |
| $stack2)...                                                                                         |   Y   |
| $stack8 = staticinvoke <com...                                                                      |   N   |
| return $stack2                                                                                      |   Y   |
| $stack7 = new java.lang.IllegalArgumentException                                                    |   Y   |
| if l0 != 7 goto (branch)                                                                            |   Y   |
| return 1                                                                                            |   N   |
| ack45)...                                                                                           |   N   |
| return $stack1                                                                                      |   Y   |
| $stack3 = staticinvoke <com...                                                                      |   Y   |
| goto [?= l4 = l8]                                                                                   |   N   |
| if $stack1 == 0 goto $stack2 = new java.math.BigDecimal                                             |   Y   |
| $stack45 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String)>("::")          |   N   |
| $stack1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                               |   Y   |
| if l0 != null goto $stack1 ...                                                                      |   Y   |
| $stack15 = virtualinvoke $s...                                                                      |   N   |
| if $stack2 == 0 goto $stack4 = 0                                                                    |   N   |
| return 0                                                                                            |   N   |
| $stack84 = staticinvoke <co...                                                                      |   N   |
| specialinvoke $stack16.<java.lang.String: void <init>(char[],int,int)>(l2, l4, $stack18)            |   Y   |
| $stack13 = lengthof l2                                                                              |   Y   |
| return 0                                                                                            |   N   |
| if $stack30 != 0 goto (branch)                                                                      |   N   |
| if $stack43 != 0 goto $stac...                                                                      |   N   |
| return $stack155                                                                                    |   N   |
| return $stack1                                                                                      |   Y   |
| l4 = 0 + $stack142                                                                                  |   N   |
| if $stack19 <= 4 goto l7 = ...                                                                      |   Y   |
| $stack16[0] = "0x"                                                                                  |   Y   |
| $stack12 = staticinvoke <java.lang.Character: boolean isLowerCase(char)>($stack11)                  |   Y   |
| tack97)...                                                                                          |   N   |
| goto [?= (branch)]                                                                                  |   Y   |
| if l10 <= -1 goto l8 = null                                                                         |   N   |
| return 1                                                                                            |   N   |
| <comp5111.assignment.cut.Su...                                                                      |   Y   |
| l2 = staticinvoke <comp5111...                                                                      |   Y   |
| if $stack8 == -1 goto $stac...                                                                      |   Y   |
| if l1 < 0 goto return 1                                                                             |   N   |
| if l0 != 6 goto (branch)                                                                            |   Y   |
| $stack14 = lengthof l0                                                                              |   Y   |
| l4 = l4 + 100                                                                                       |   Y   |
| return 1                                                                                            |   N   |
| l1 = virtualinvoke $stack5....                                                                      |   Y   |
| $stack4 = dynamicinvoke "ma...                                                                      |   N   |
| $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l1#2)         |   Y   |
| return null                                                                                         |   N   |
| $stack13 = 1                                                                                        |   N   |
| l3 = l3 + 1                                                                                         |   N   |
| $stack1 = 1                                                                                         |   Y   |
| $stack13 = l2 - 1                                                                                   |   N   |
| $stack142 = $stack141 + l3                                                                          |   N   |
| if l0 != null goto l1 = virtualinvoke l0.<java.lang.String: int lastIndexOf(int)>(47)               |   Y   |
| goto [?= return $stack2]                                                                            |   Y   |
| $stack5)...                                                                                         |   Y   |
| if l4 != $stack11 goto (branch)                                                                     |   Y   |
| $stack9 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()                                  |   Y   |
| $stack3 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l1)                                 |   N   |
| $stack2 = virtualinvoke l0.<java.lang.String: int length()>()                                       |   Y   |
| goto [?= return $stack1]                                                                            |   N   |
| if l0 < 32 goto $stack1 = 1                                                                         |   Y   |
| if l9 <= -1 goto (branch)                                                                           |   Y   |
| l3#27 = l3#27 + 2                                                                                   |   N   |
| return 0                                                                                            |   Y   |
| $stack13 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int)>(l6)                 |   Y   |
| $stack22 = virtualinvoke l0.<java.lang.String: int indexOf(int)>(101)                               |   Y   |
| l1 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)                                       |   Y   |
| return 7                                                                                            |   N   |
| if $stack16 != 0 goto (branch)                                                                      |   N   |
| $stack18 = staticinvoke <java.lang.Character: boolean isHighSurrogate(char)>(l7)                    |   N   |
| if l10 <= l2 goto $stack116 = l9 + 1                                                                |   N   |
| if l8 != null goto l12#81 =...                                                                      |   N   |
| $stack7 = 0                                                                                         |   Y   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| if l0 > 90 goto $stack1 = 0                                                                         |   Y   |
| l4 = l8                                                                                             |   N   |
| return                                                                                              |   Y   |
| throw $stack1                                                                                       |   Y   |
| $stack7 = virtualinvoke l1.<java.util.regex.Matcher: boolean matches()>()                           |   Y   |
| $stack31 = staticinvoke <co...                                                                      |   N   |
| $stack155 = staticinvoke <c...                                                                      |   N   |
| if l0 == null goto $stack2 = l1                                                                     |   Y   |
| if l0 <= 999999999 goto (branch)                                                                    |   Y   |
| specialinvoke $stack151.<ja...                                                                      |   Y   |
| if l0 != null goto $stack15...                                                                      |   Y   |
| return l13#69                                                                                       |   N   |
| if l0 != null goto $stack1 ...                                                                      |   Y   |
| l6 = 0                                                                                              |   Y   |
| $stack18 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)                                 |   Y   |
| $stack8 = 0                                                                                         |   N   |
| if l1 >= 10 goto virtualinv...                                                                      |   Y   |
| if $stack27 != 0 goto l3#27 = l3#27 + 2                                                             |   N   |
| return $stack2                                                                                      |   N   |
| if l3 >= l2 goto return 1                                                                           |   N   |
| l5#11 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l6)                                   |   N   |
| goto [?= l6#28 = staticinvo...                                                                      |   Y   |
| specialinvoke $stack2.<java...                                                                      |   N   |
| if $stack20 == 0 goto (branch)                                                                      |   N   |
| l13#69 = staticinvoke <comp...                                                                      |   N   |
| virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>(48)           |   Y   |
| if l10 <= -1 goto $stack107 = l9 + 1                                                                |   N   |
| l4 = l8                                                                                             |   N   |
| if $stack31 == 0 goto $stac...                                                                      |   N   |
| $stack67 = staticinvoke <co...                                                                      |   N   |
| return 0                                                                                            |   Y   |
| specialinvoke $stack28.<java.util.ArrayList: void <init>(java.util.Collection)>($stack29)           |   N   |
| if l0 != 10 goto (branch)                                                                           |   Y   |
| $stack7 = 28                                                                                        |   N   |
| $stack26 = l6 - l4                                                                                  |   Y   |
| if l8 == l4 goto (branch)                                                                           |   N   |
| if l1 == 0 goto $stack9 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l4)         |   Y   |
| return 0                                                                                            |   N   |
| $stack15 = 0                                                                                        |   Y   |
| if $stack80 == 0 goto (branch)                                                                      |   N   |
| $stack33 = interfaceinvoke ...                                                                      |   N   |
| if l6 > 8 goto $stack123 = ...                                                                      |   N   |
| $stack25 = new java.lang.String                                                                     |   Y   |
| $stack20 = $stack19 - $stack18                                                                      |   Y   |
| goto [?= l7#20 = virtualinv...                                                                      |   N   |
| return $stack15                                                                                     |   Y   |
| if l2 == 0 goto $stack5 = v...                                                                      |   Y   |
| if l0 >= 2100 goto $stack1 = l0 & 3                                                                 |   Y   |
| if l1 >= 2 goto l2 = l1 - 1                                                                         |   Y   |
| return $stack77                                                                                     |   N   |
| l4 = 0                                                                                              |   N   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| return 1                                                                                            |   Y   |
| $stack9 = l0[l3]                                                                                    |   Y   |
| l7 = 0                                                                                              |   N   |
| return l3                                                                                           |   Y   |
| $stack10 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String)>(":")           |   Y   |
| l6 = l6 + 1                                                                                         |   N   |
| goto [?= return -1]                                                                                 |   Y   |
| $stack8 = virtualinvoke l1.<java.util.regex.Matcher: int groupCount()>()                            |   N   |
| if $stack37 != 0 goto return l14                                                                    |   N   |
| l5 = staticinvoke <java.lang.Character: int getType(char)>($stack12)                                |   Y   |
| l5#11 = 0                                                                                           |   N   |
| if $stack8 != 0 goto l2 = 16                                                                        |   Y   |
| specialinvoke $stack4.<java.lang.StringBuilder: void <init>()>()                                    |   Y   |
| if l0 < 32 goto $stack1 = 0                                                                         |   Y   |
| if l0 <= 1900 goto $stack1 = l0 & 3                                                                 |   Y   |
| if $stack15 != l7 goto l8 = l8 + 1                                                                  |   Y   |
| return 0                                                                                            |   N   |
| l1 = l1 + 1                                                                                         |   N   |
| e()>()...                                                                                           |   N   |
| goto [?= return $stack5]                                                                            |   N   |
| l2 = 0                                                                                              |   Y   |
| specialinvoke $stack9.<java.math.BigInteger: void <init>(java.lang.String,int)>($stack10, l2)       |   Y   |
| $stack3 = 0                                                                                         |   Y   |
| $stack1 = staticinvoke <com...                                                                      |   Y   |
| l4 = l4 + 1                                                                                         |   N   |
| l2 = l2 + 1                                                                                         |   Y   |
| if l0 < -999999999 goto $stack3 = new java.lang.IllegalArgumentException                            |   Y   |
| interfaceinvoke $stack28.<java.util.List: boolean add(java.lang.Object)>("")                        |   N   |
| return null                                                                                         |   N   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| $stack37 = new java.lang.IllegalArgumentException                                                   |   N   |
| if l7 != 2 goto $stack25 = new java.lang.String                                                     |   Y   |
| if $stack4 != 1 goto $stack5 = virtualinvoke l0.<java.lang.String: int length()>()                  |   Y   |
| return 31                                                                                           |   N   |
| if l4 != 45 goto (branch)                                                                           |   Y   |
| if l8 >= l4 goto l6 = l6 + 1                                                                        |   Y   |
| virtualinvoke $stack11.<java.util.ArrayList: boolean add(java.lang.Object)>("?")                    |   N   |
| l2 = l2 + 1                                                                                         |   N   |
| return l14                                                                                          |   N   |
| l4 = lengthof l1                                                                                    |   Y   |
| if l10 < l9 goto $stack114 = new java.lang.NumberFormatException                                    |   N   |
| return                                                                                              |   Y   |
| l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                                    |   Y   |
| if l4 >= 0 goto l6 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l5, 4)                    |   Y   |
| if l2 == 0 goto $stack5 = v...                                                                      |   N   |
| if $stack15 == 0 goto $stac...                                                                      |   N   |
| 0", l1)...                                                                                          |   Y   |
| $stack24 = $stack22 + $stack23                                                                      |   Y   |
| if $stack19 <= $stack20 goto $stack9 = new java.math.BigInteger                                     |   N   |
| if $stack9 != -1 goto l1 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()              |   Y   |
| l1 = $stack2 - 1                                                                                    |   N   |
| $stack6 = l2 - 1                                                                                    |   Y   |
| if l8 != 42 goto virtualinv...                                                                      |   N   |
| if l5#11 <= 55 goto $stack1...                                                                      |   N   |
| return $stack1                                                                                      |   Y   |
| $stack15 = $stack14 - 1                                                                             |   Y   |
| if l10 <= -1 goto (branch)                                                                          |   Y   |
| $stack13 = virtualinvoke $stack12.<java.lang.StringBuilder: int length()>()                         |   N   |
| $stack2 = 0                                                                                         |   Y   |
| return $stack11                                                                                     |   N   |
| if l0 != null goto $stack2 = virtualinvoke l0.<java.lang.String: int length()>()                    |   N   |
| $stack1 = new java.lang.IllegalArgumentException                                                    |   N   |
